week,race_cat_col,state,hh_contacts,non_hh_contacts,samp_size
2021-01-24,asian,LA,1.9839530812196917,4.831695131750394,17
2021-01-24,asian,MA,2.8034315623361308,4.934855458683457,103
2021-01-24,asian,MD,2.3921254973537938,4.956784234977526,90
2021-01-24,asian,ME,2.3979137447903396,3.648323226445821,12
2021-01-24,asian,MI,2.0394165259947417,4.527647222031977,113
2021-01-24,asian,MN,2.8742759577953043,5.391395231817506,54
2021-01-24,asian,MO,1.66189036676723,7.206987956302238,25
2021-01-24,asian,MS,1.9538708908196694,5.1868052909171585,11
2021-01-24,asian,MT,2.2212005685928227,10.86777465716496,6
2021-01-24,asian,NC,1.9301201740604457,7.187099563122678,56
2021-01-24,asian,ND,3.846124430064652,6.109163146120404,4
2021-01-24,asian,NE,2.1360415469208536,3.252257742619894,13
2021-01-24,asian,NH,2.2573073138900943,6.0895367787698556,15
2021-01-24,asian,NJ,2.603797352362123,5.744884234676768,204
2021-01-24,asian,NM,1.9214817311798362,7.623727903108185,22
2021-01-24,asian,NV,2.1835453304958614,5.448441339903478,71
2021-01-24,asian,NY,2.424700928143449,5.075581240806598,267
2021-01-24,asian,OH,2.1571981858239,5.255750737581226,65
2021-01-24,asian,OK,3.06461959670649,19.067266308088772,20
2021-01-24,asian,OR,2.1986564277128258,6.751651468977842,41
2021-01-24,asian,PA,2.399508331356996,5.3725082765685315,121
2021-01-24,asian,RI,3.0928722257032244,2.7790385579446495,7
2021-01-24,asian,SC,2.9826039664474084,6.744821154583335,23
2021-01-24,asian,TN,2.0255970160103445,9.457858195283968,24
2021-01-24,asian,TX,2.27976971744803,7.226977693643079,330
2021-01-24,asian,UT,2.533398162878154,6.513531568514975,20
2021-01-24,asian,VA,2.2661393282057993,5.589585351859881,141
2021-01-24,asian,VT,3.41483500322128,5.774988242278712,5
2021-01-24,asian,WA,2.0872136708021274,4.1398507961016815,175
2021-01-24,asian,WI,2.2006697280770604,5.871683676582536,41
2021-01-24,asian,WV,2.201706716779998,4.895481468367508,7
2021-01-24,asian,WY,0,21.84418407656408,3
2021-01-24,black,AK,0.7532405573543843,1.5157456553401534,4
2021-01-24,black,AL,2.149914564238,8.166194532837645,524
2021-01-24,black,AR,1.9506341721567058,9.449385886204134,178
2021-01-24,black,AZ,2.2714429736141435,6.158421790773464,104
2021-01-24,black,CA,2.268537342757901,5.273224671468277,728
2021-01-24,black,CO,1.7557948453760608,11.077295392310933,66
2021-01-24,black,CT,1.8696363762644737,4.778584287907038,147
2021-01-24,black,DC,1.8297654834522492,4.557422861321148,95
2021-01-24,black,DE,2.215127309279215,7.016667561052657,102
2021-01-24,black,FL,1.9960695185189867,8.341001835005786,804
2021-01-24,black,GA,2.2504890660041847,7.221885565734212,1103
2021-01-24,black,HI,2.4895558869779735,8.782663813947625,11
2021-01-24,black,IA,2.1299895068202974,12.043130181383479,42
2021-01-24,black,ID,2.0350273079798464,4.731324604134578,11
2021-01-24,black,IL,2.027796088997454,6.924763866103342,632
2021-01-24,black,IN,1.9593356439999763,7.279706478021217,211
2021-01-24,black,KS,2.0009154368318605,6.710976178329148,72
2021-01-24,black,KY,2.000700618946698,7.270164562566352,160
2021-01-24,black,LA,2.105716486753711,7.61309811127963,626
2021-01-24,black,MA,2.287662834198849,3.8311632582302337,111
2021-01-24,black,MD,2.1256780515653544,4.861023972616331,563
2021-01-24,black,ME,1.3326561962321102,5.137809155538092,6
2021-01-24,black,MI,2.1649123068280702,6.216067414911159,575
2021-01-24,black,MN,2.418393792652208,6.3232563616710324,87
2021-01-24,black,MO,1.7895700909055847,8.037961933131546,224
2021-01-24,black,MS,2.205728740391185,7.328590849300218,495
2021-01-24,black,NC,1.987338505030748,7.1844887329927305,981
2021-01-24,black,ND,2.3133223923792925,14.228025707912927,10
2021-01-24,black,NE,2.038289396840901,4.903850312079666,37
2021-01-24,black,NH,1.0036956592164383,9.609357680428124,5
2021-01-24,black,NJ,2.301837667473287,5.619122696394255,326
2021-01-24,black,NM,2.1280046423869403,7.748130662750306,28
2021-01-24,black,NV,2.846133923596061,6.692017092981184,82
2021-01-24,black,NY,2.120299997946961,6.629563617355199,728
2021-01-24,black,OH,1.8943108069074073,5.962667886219741,503
2021-01-24,black,OK,1.6683499734828184,8.943693655666154,135
2021-01-24,black,OR,1.067141815850322,11.943566885643582,20
2021-01-24,black,PA,2.0071771026421326,6.5388815600796715,446
2021-01-24,black,RI,2.8197026253306916,7.736739564227252,29
2021-01-24,black,SC,2.0591925303957184,8.727744721905317,660
2021-01-24,black,SD,2.8193832368365146,18.892550688298215,5
2021-01-24,black,TN,2.1370761282480997,7.813176237871198,411
2021-01-24,black,TX,2.202375994996125,6.803723862276074,1120
2021-01-24,black,UT,2.3106248326892658,8.591731847786546,15
2021-01-24,black,VA,2.088068634548974,7.355259082594181,772
2021-01-24,black,VT,2.477041865114382,12.840243289864594,6
2021-01-24,black,WA,1.8589786614570702,5.358834739491332,93
2021-01-24,black,WI,2.1665688255318454,6.280297458918131,116
2021-01-24,black,WV,1.5702370133258228,5.47795360726704,38
2021-01-24,black,WY,1.4999999999999998,5.432013459074709,8
2021-01-31,hispanic,AK,1.669503010823815,7.302586228040805,32
2021-01-31,hispanic,AL,2.448986551367954,8.455707108323809,85
2021-01-31,hispanic,AR,2.685717814819756,10.456675722065107,94
2021-01-31,hispanic,AZ,2.661124160037583,7.994449605987933,767
2021-01-31,hispanic,CA,2.9833398785699456,6.682358501435114,4425
2021-01-31,hispanic,CO,2.6469511045549803,8.50117228641238,491
2021-01-31,hispanic,CT,2.4909055044676798,7.535596231968288,337
2021-01-31,hispanic,DC,1.5913845107965463,3.3712904822652625,31
2021-01-31,hispanic,DE,2.7786713820142794,8.31053084651238,56
2021-01-31,hispanic,FL,2.2941265557233375,8.987697075835841,1921
2021-01-31,hispanic,GA,2.8676627456872246,7.1568624583083755,345
2021-01-31,hispanic,HI,2.641058884222058,6.4141276697392255,64
2021-01-31,hispanic,IA,2.546977227266701,8.404450789736215,95
2021-01-31,hispanic,ID,2.8399282485928024,10.017282703738237,121
2021-01-31,hispanic,IL,2.6128033715546928,6.923381217786173,842
2021-01-31,hispanic,IN,2.599118186940762,9.697262021387884,214
2021-01-31,hispanic,KS,2.673101587157393,7.953101671692407,168
2021-01-31,hispanic,KY,3.224098229780324,6.471444297207672,90
2021-01-31,hispanic,LA,2.002629641492538,7.904430697400339,147
2021-01-31,hispanic,MA,2.5222516920783207,7.0993085445151705,362
2021-01-31,hispanic,MD,3.1014407250682274,7.46500787100326,291
2021-01-31,hispanic,ME,1.7825447655130597,6.735401175429432,22
2021-01-31,hispanic,MI,2.411374679620202,6.824955673719851,294
2021-01-31,hispanic,MN,2.446057977609902,9.510797347043678,143
2021-01-31,hispanic,MO,2.2333978937503374,7.486525138613264,119
2021-01-31,hispanic,MS,1.9379512961682124,6.554415234885816,52
2021-01-31,hispanic,MT,1.5654649346543696,6.968314292512448,34
2021-01-31,hispanic,NC,2.7075128020624604,7.607358180220478,354
2021-01-31,hispanic,ND,2.4364334185690235,6.476964666870204,19
2021-01-31,hispanic,NE,2.6092021699203456,13.701389644666751,83
2021-01-31,hispanic,NH,1.7482367929738196,12.288472229335241,41
2021-01-31,hispanic,NJ,2.682534038588206,6.619494165568412,728
2021-01-31,hispanic,NM,2.138098507046832,7.648686418152515,735
2021-01-31,hispanic,NV,2.647114828704533,7.8798349292006105,248
2021-01-31,hispanic,NY,2.638987874635103,6.270018088163961,1315
2021-01-31,hispanic,OH,2.1519626719450193,6.662404975002879,227
2021-01-31,hispanic,OK,2.628106878403573,6.771140337587331,175
2021-01-31,hispanic,OR,2.561204342082928,9.401307697272495,201
2021-01-31,hispanic,PA,2.6490177226622436,6.856248484882995,462
